OrderNumber;Sales Channel;WarehouseCode;ProcuredDate;OrderDate;ShipDate;DeliveryDate;CurrencyCode;SalesTeamID;SalesTeamHead;CustomerID;CosutmerName;StoreID;ProductID;ProductName;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 000111;Distributor;WARE-XYS1001;31/12/2017;1/6/2018;15/6/2018;20/6/2018;USD;23;Douglas Tucker;21;Ohio ;17;38;Wardrobes;6;0,1;201;124,62
SO - 000112;In-Store;WARE-NMK1003;10/4/2018;1/6/2018;7/6/2018;17/6/2018;USD;10;Jonathan Hawkins;21;Ohio ;152;40;Rugs;5;0,15;6277,9;2762,276
SO - 000113;In-Store;WARE-PUJ1005;10/4/2018;1/6/2018;22/6/2018;2/7/2018;USD;4;Chris Armstrong;36;O.E. Ltd;317;39;Floor Lamps;5;0,05;1051,9;641,659
SO - 000114;In-Store;WARE-PUJ1005;10/4/2018;1/6/2018;7/6/2018;15/6/2018;USD;8;George Lewis;17;Pure Group;291;32;Vases;6;0,15;254,6;216,41
SO - 000115;In-Store;WARE-NMK1003;31/12/2017;1/6/2018;15/6/2018;20/6/2018;USD;9;Joshua Ryan;32;OHTA'S Corp;138;6;Computers;6;0,15;3932,9;3146,32
SO - 000116;In-Store;WARE-MKL1006;31/12/2017;1/6/2018;24/6/2018;2/7/2018;USD;5;Stephen Payne;11;Apollo Ltd;354;25;TV and video;3;0,05;1112,2;700,686
SO - 000117;In-Store;WARE-PUJ1005;10/4/2018;1/6/2018;19/6/2018;27/6/2018;USD;9;Joshua Ryan;10;21st Ltd;320;6;Computers;3;0,075;1239,5;904,835
SO - 000118;In-Store;WARE-XYS1001;10/4/2018;1/6/2018;6/6/2018;14/6/2018;USD;8;George Lewis;30;S.S.S. Group;21;3;Table Lamps;4;0,1;984,9;393,96
SO - 000119;In-Store;WARE-MKL1006;10/4/2018;1/6/2018;7/6/2018;15/6/2018;USD;5;Stephen Payne;5;Procter Corp;349;20;Bar Tools;4;0,1;5581,1;4130,014
SO - 000120;Online;WARE-NMK1003;31/12/2017;1/6/2018;11/6/2018;17/6/2018;USD;14;Paul Holmes;23;E. Ltd;134;24;Wall Frames;4;0,05;3095,4;1795,332
SO - 000121;Wholesale;WARE-NMK1003;10/4/2018;1/6/2018;18/6/2018;20/6/2018;USD;25;Patrick Graham;46;U.S. Ltd;193;33;Outdoor Decor;4;0,4;2278;1754,06
SO - 000122;In-Store;WARE-PUJ1005;10/4/2018;2/6/2018;10/6/2018;16/6/2018;USD;2;Keith Griffin;14;Linde ;282;1;Cookware;7;0,075;991,6;654,456
SO - 000123;In-Store;WARE-XYS1001;10/4/2018;2/6/2018;26/6/2018;28/6/2018;USD;7;Shawn Cook;40;Select ;20;35;Table Linens;2;0,2;3979,8;3064,446
SO - 000124;Distributor;WARE-UHY1004;31/12/2017;2/6/2018;22/6/2018;2/7/2018;USD;24;Roy Rice;19;Qualitest ;218;15;Outdoor Furniture;3;0,4;1969,8;866,712
SO - 000125;In-Store;WARE-NMK1003;10/4/2018;2/6/2018;16/6/2018;24/6/2018;USD;4;Chris Armstrong;15;Rochester Ltd;173;13;Bakeware;1;0,15;268;131,32
SO - 000126;Online;WARE-NMK1003;31/12/2017;2/6/2018;21/6/2018;1/7/2018;USD;18;Shawn Wallace;46;U.S. Ltd;110;24;Wall Frames;7;0,1;174,2;95,81
SO - 000127;In-Store;WARE-UHY1004;31/12/2017;2/6/2018;26/6/2018;6/7/2018;USD;7;Shawn Cook;32;OHTA'S Corp;229;46;Sculptures;3;0,075;2988,2;2510,088
SO - 000128;In-Store;WARE-UHY1004;31/12/2017;2/6/2018;20/6/2018;29/6/2018;USD;9;Joshua Ryan;32;OHTA'S Corp;238;36;Clocks;4;0,05;3999,9;2679,933
SO - 000129;Distributor;WARE-NMK1003;10/4/2018;2/6/2018;21/6/2018;22/6/2018;USD;20;Anthony Torres;22;Capweld ;97;37;Platters;3;0,05;5976,4;2450,324
SO - 000130;In-Store;WARE-NMK1003;10/4/2018;2/6/2018;27/6/2018;29/6/2018;USD;8;George Lewis;5;Procter Corp;103;32;Vases;5;0,1;2901,1;2378,902
SO - 000131;In-Store;WARE-PUJ1005;10/4/2018;3/6/2018;26/6/2018;5/7/2018;USD;8;George Lewis;29;Apotheca, Ltd;305;23;Accessories;7;0,075;6076,9;2734,605
SO - 000132;Online;WARE-PUJ1005;31/12/2017;3/6/2018;5/6/2018;10/6/2018;USD;13;Todd Roberts;35;Amylin Group;303;14;Mirrors;7;0,2;5735,2;4186,696
SO - 000133;Online;WARE-UHY1004;31/12/2017;3/6/2018;30/6/2018;10/7/2018;USD;19;Nicholas Cunningham;46;U.S. Ltd;217;7;Dinnerware;3;0,1;3919,5;2077,335
SO - 000134;Online;WARE-MKL1006;31/12/2017;3/6/2018;30/6/2018;5/7/2018;USD;17;Frank Brown;42;Llorens Ltd;362;46;Sculptures;1;0,05;6083,6;3832,668
SO - 000135;Wholesale;WARE-MKL1006;10/4/2018;3/6/2018;14/6/2018;15/6/2018;USD;26;Donald Reynolds;2;WakeFern ;335;40;Rugs;5;0,075;2566,1;1642,304
SO - 000136;Distributor;WARE-NBV1002;31/12/2017;3/6/2018;7/6/2018;13/6/2018;USD;22;Joe Price;28;Dharma Ltd;84;38;Wardrobes;2;0,075;2278;1093,44
SO - 000137;In-Store;WARE-UHY1004;31/12/2017;3/6/2018;14/6/2018;21/6/2018;USD;7;Shawn Cook;46;U.S. Ltd;256;1;Cookware;1;0,075;261,3;120,198
SO - 000138;Online;WARE-MKL1006;31/12/2017;3/6/2018;28/6/2018;8/7/2018;USD;12;Carl Nguyen;22;Capweld ;360;17;Furniture Cushions;8;0,05;998,3;698,81
SO - 000139;In-Store;WARE-NMK1003;31/12/2017;3/6/2018;13/6/2018;21/6/2018;USD;4;Chris Armstrong;34;OUR Ltd;90;40;Rugs;6;0,2;3497,4;1958,544
SO - 000140;In-Store;WARE-NMK1003;31/12/2017;3/6/2018;18/6/2018;28/6/2018;USD;9;Joshua Ryan;26;Mylan Corp;196;25;TV and video;4;0,05;1132,3;486,889
SO - 000141;In-Store;WARE-XYS1001;31/12/2017;3/6/2018;15/6/2018;17/6/2018;USD;7;Shawn Cook;26;Mylan Corp;40;2;Photo Frames;7;0,05;2405,3;1587,498
SO - 000142;Distributor;WARE-MKL1006;31/12/2017;3/6/2018;24/6/2018;3/7/2018;USD;24;Roy Rice;24;Burt's Corp;367;3;Table Lamps;8;0,05;5701,7;3249,969
SO - 000143;Distributor;WARE-UHY1004;31/12/2017;4/6/2018;9/6/2018;16/6/2018;USD;25;Patrick Graham;18;Eminence Corp;249;34;Bedroom Furniture;1;0,2;2452,2;1446,798
SO - 000144;In-Store;WARE-XYS1001;31/12/2017;4/6/2018;30/6/2018;4/7/2018;USD;11;Joshua Little;21;Ohio ;6;11;Ornaments;3;0,05;3095,4;2012,01
SO - 000145;Online;WARE-UHY1004;31/12/2017;4/6/2018;12/6/2018;14/6/2018;USD;15;Roger Alexander;14;Linde ;212;8;Cocktail Glasses;4;0,4;3865,9;2164,904
SO - 000146;Distributor;WARE-XYS1001;31/12/2017;4/6/2018;10/6/2018;15/6/2018;USD;23;Douglas Tucker;3;Elorac, Corp;37;11;Ornaments;8;0,1;2304,8;1382,88
SO - 000147;Online;WARE-XYS1001;31/12/2017;4/6/2018;21/6/2018;24/6/2018;USD;17;Frank Brown;13;Ole Group;38;35;Table Linens;3;0,05;3195,9;1470,114
SO - 000148;Online;WARE-PUJ1005;31/12/2017;4/6/2018;19/6/2018;26/6/2018;USD;18;Shawn Wallace;49;Bare ;294;33;Outdoor Decor;7;0,05;6452,1;5161,68
SO - 000149;Distributor;WARE-NMK1003;31/12/2017;5/6/2018;14/6/2018;17/6/2018;USD;24;Roy Rice;4;ETUDE Ltd;105;16;Stemware;3;0,3;2003,3;921,518
SO - 000150;Distributor;WARE-XYS1001;10/4/2018;5/6/2018;28/6/2018;7/7/2018;USD;23;Douglas Tucker;20;Pacific Ltd;17;8;Cocktail Glasses;8;0,05;3638,1;1455,24
SO - 000151;In-Store;WARE-NMK1003;10/4/2018;5/6/2018;14/6/2018;17/6/2018;USD;4;Chris Armstrong;19;Qualitest ;109;44;Pillows;3;0,075;2278;1822,4
SO - 000152;Online;WARE-NMK1003;10/4/2018;5/6/2018;25/6/2018;29/6/2018;USD;16;Anthony Berry;25;Prasco Group;141;22;Wine Storage;6;0,3;924,6;582,498
SO - 000153;Online;WARE-NMK1003;10/4/2018;5/6/2018;21/6/2018;1/7/2018;USD;19;Nicholas Cunningham;8;Medsep Group;111;16;Stemware;5;0,05;3926,2;3062,436
SO - 000154;Distributor;WARE-MKL1006;31/12/2017;5/6/2018;12/6/2018;18/6/2018;USD;23;Douglas Tucker;24;Burt's Corp;349;25;TV and video;4;0,075;3825,7;2257,163
SO - 000155;Wholesale;WARE-MKL1006;31/12/2017;5/6/2018;3/7/2018;8/7/2018;USD;27;Shawn Torres;13;Ole Group;360;4;Serveware;3;0,05;2257,9;1377,319
SO - 000156;Distributor;WARE-NMK1003;31/12/2017;6/6/2018;2/7/2018;8/7/2018;USD;24;Roy Rice;32;OHTA'S Corp;148;33;Outdoor Decor;8;0,075;1112,2;756,296
SO - 000157;Online;WARE-NMK1003;31/12/2017;6/6/2018;22/6/2018;23/6/2018;USD;19;Nicholas Cunningham;28;Dharma Ltd;103;45;Home Fragrances;8;0,05;3557,7;1814,427
SO - 000158;Online;WARE-NBV1002;31/12/2017;6/6/2018;9/6/2018;12/6/2018;USD;13;Todd Roberts;8;Medsep Group;59;45;Home Fragrances;3;0,4;2371,8;1233,336
SO - 000159;Online;WARE-NBV1002;31/12/2017;6/6/2018;1/7/2018;4/7/2018;USD;14;Paul Holmes;47;Niconovum Corp;60;1;Cookware;1;0,4;857,6;686,08
SO - 000160;In-Store;WARE-UHY1004;31/12/2017;7/6/2018;14/6/2018;16/6/2018;USD;11;Joshua Little;33;Trigen ;238;20;Bar Tools;5;0,3;3892,7;2880,598
SO - 000161;In-Store;WARE-NMK1003;31/12/2017;7/6/2018;13/6/2018;15/6/2018;USD;3;Jerry Green;26;Mylan Corp;151;21;Floral;6;0,075;3477,3;1390,92
SO - 000162;Online;WARE-NMK1003;31/12/2017;7/6/2018;11/6/2018;21/6/2018;USD;13;Todd Roberts;20;Pacific Ltd;152;44;Pillows;5;0,1;3738,6;2803,95
SO - 000163;Online;WARE-PUJ1005;10/4/2018;7/6/2018;10/6/2018;13/6/2018;USD;20;Anthony Torres;6;PEDIFIX, Corp;262;8;Cocktail Glasses;5;0,3;1072;589,6
SO - 000164;In-Store;WARE-NMK1003;10/4/2018;7/6/2018;1/7/2018;2/7/2018;USD;5;Stephen Payne;40;Select ;120;46;Sculptures;7;0,05;2257,9;1761,162
SO - 000165;Online;WARE-UHY1004;10/4/2018;7/6/2018;11/6/2018;13/6/2018;USD;18;Shawn Wallace;23;E. Ltd;233;46;Sculptures;3;0,1;1058,6;751,606
SO - 000166;Online;WARE-NBV1002;10/4/2018;7/6/2018;15/6/2018;25/6/2018;USD;13;Todd Roberts;38;Ascend Ltd;77;39;Floor Lamps;4;0,1;2492,4;1296,048
SO - 000167;In-Store;WARE-NBV1002;10/4/2018;7/6/2018;13/6/2018;21/6/2018;USD;4;Chris Armstrong;30;S.S.S. Group;69;11;Ornaments;5;0,05;3852,5;2465,6
SO - 000168;Distributor;WARE-UHY1004;31/12/2017;8/6/2018;19/6/2018;25/6/2018;USD;23;Douglas Tucker;42;Llorens Ltd;215;37;Platters;8;0,05;241,2;132,66
SO - 000169;In-Store;WARE-XYS1001;31/12/2017;8/6/2018;11/6/2018;17/6/2018;USD;9;Joshua Ryan;1;Avon Corp;30;35;Table Linens;2;0,15;1051,9;494,393
SO - 000170;Distributor;WARE-NMK1003;31/12/2017;8/6/2018;14/6/2018;19/6/2018;USD;25;Patrick Graham;11;Apollo Ltd;169;10;Blankets;5;0,3;227,8;107,066
SO - 000171;Distributor;WARE-MKL1006;10/4/2018;8/6/2018;14/6/2018;15/6/2018;USD;24;Roy Rice;4;ETUDE Ltd;333;14;Mirrors;5;0,05;1078,7;506,989
SO - 000172;Wholesale;WARE-NMK1003;10/4/2018;8/6/2018;13/6/2018;20/6/2018;USD;28;Carlos Miller;6;PEDIFIX, Corp;96;10;Blankets;8;0,15;1005;743,7
SO - 000173;Distributor;WARE-PUJ1005;10/4/2018;8/6/2018;3/7/2018;9/7/2018;USD;24;Roy Rice;17;Pure Group;289;45;Home Fragrances;5;0,05;2485,7;1317,421
SO - 000174;In-Store;WARE-NMK1003;10/4/2018;8/6/2018;30/6/2018;6/7/2018;USD;3;Jerry Green;7;New Ltd;140;22;Wine Storage;3;0,05;2659,9;2154,519
SO - 000175;In-Store;WARE-NMK1003;10/4/2018;9/6/2018;28/6/2018;3/7/2018;USD;1;Adam Hernandez;1;Avon Corp;107;1;Cookware;1;0,075;2224,4;1579,324
SO - 000176;In-Store;WARE-MKL1006;10/4/2018;9/6/2018;12/6/2018;16/6/2018;USD;11;Joshua Little;27;Wuxi Group;338;35;Table Linens;7;0,2;2472,3;1260,873
SO - 000177;In-Store;WARE-UHY1004;10/4/2018;9/6/2018;23/6/2018;24/6/2018;USD;5;Stephen Payne;33;Trigen ;232;15;Outdoor Furniture;5;0,05;1011,7;799,243
SO - 000178;Wholesale;WARE-UHY1004;10/4/2018;9/6/2018;5/7/2018;13/7/2018;USD;26;Donald Reynolds;28;Dharma Ltd;231;28;Phones;6;0,2;234,5;128,975
SO - 000179;Online;WARE-NMK1003;10/4/2018;9/6/2018;14/6/2018;17/6/2018;USD;13;Todd Roberts;42;Llorens Ltd;158;11;Ornaments;4;0,075;261,3;143,715
SO - 000180;Online;WARE-XYS1001;31/12/2017;9/6/2018;27/6/2018;1/7/2018;USD;18;Shawn Wallace;5;Procter Corp;36;29;Pendants;7;0,1;4006,6;2844,686
SO - 000181;In-Store;WARE-UHY1004;10/4/2018;9/6/2018;5/7/2018;13/7/2018;USD;3;Jerry Green;10;21st Ltd;206;28;Phones;7;0,05;1333,3;866,645
SO - 000182;In-Store;WARE-UHY1004;10/4/2018;10/6/2018;7/7/2018;9/7/2018;USD;10;Jonathan Hawkins;34;OUR Ltd;255;15;Outdoor Furniture;5;0,05;167,5;90,45
SO - 000183;Online;WARE-MKL1006;10/4/2018;10/6/2018;28/6/2018;2/7/2018;USD;14;Paul Holmes;23;E. Ltd;336;27;Wreaths;7;0,075;3195,9;1821,663
SO - 000184;Online;WARE-PUJ1005;10/4/2018;10/6/2018;30/6/2018;5/7/2018;USD;20;Anthony Torres;18;Eminence Corp;307;15;Outdoor Furniture;1;0,05;1051,9;809,963
SO - 000185;Online;WARE-XYS1001;31/12/2017;10/6/2018;30/6/2018;3/7/2018;USD;15;Roger Alexander;8;Medsep Group;9;28;Phones;4;0,1;5447,1;3540,615
SO - 000186;Online;WARE-NMK1003;10/4/2018;10/6/2018;16/6/2018;24/6/2018;USD;13;Todd Roberts;36;O.E. Ltd;200;18;Basketball;2;0,075;3182,5;1973,15
SO - 000187;In-Store;WARE-MKL1006;31/12/2017;11/6/2018;29/6/2018;1/7/2018;USD;6;Joshua Bennett;47;Niconovum Corp;337;30;Wall Coverings;3;0,1;891,1;632,681
SO - 000188;Online;WARE-NMK1003;31/12/2017;11/6/2018;16/6/2018;19/6/2018;USD;15;Roger Alexander;27;Wuxi Group;158;31;Candleholders;2;0,2;3892,7;2724,89
SO - 000189;Online;WARE-UHY1004;31/12/2017;11/6/2018;13/6/2018;16/6/2018;USD;13;Todd Roberts;5;Procter Corp;249;8;Cocktail Glasses;2;0,4;3953;3360,05
SO - 000190;Online;WARE-NMK1003;31/12/2017;11/6/2018;28/6/2018;7/7/2018;USD;20;Anthony Torres;38;Ascend Ltd;185;5;Bathroom Furniture;2;0,3;924,6;545,514
SO - 000191;Online;WARE-NMK1003;10/4/2018;11/6/2018;7/7/2018;8/7/2018;USD;20;Anthony Torres;21;Ohio ;189;10;Blankets;7;0,3;3430,4;1989,632
SO - 000192;Distributor;WARE-NMK1003;10/4/2018;11/6/2018;28/6/2018;6/7/2018;USD;22;Joe Price;24;Burt's Corp;170;43;Festive;7;0,075;1152,4;622,296
SO - 000193;Distributor;WARE-NMK1003;10/4/2018;11/6/2018;21/6/2018;24/6/2018;USD;21;Samuel Fowler;25;Prasco Group;130;37;Platters;4;0,1;1085,4;922,59
SO - 000194;In-Store;WARE-NMK1003;31/12/2017;12/6/2018;16/6/2018;22/6/2018;USD;5;Stephen Payne;11;Apollo Ltd;149;15;Outdoor Furniture;5;0,1;5031,7;4025,36
SO - 000195;Distributor;WARE-NMK1003;10/4/2018;12/6/2018;28/6/2018;3/7/2018;USD;24;Roy Rice;17;Pure Group;99;33;Outdoor Decor;7;0,15;1092,1;436,84
SO - 000196;Wholesale;WARE-XYS1001;31/12/2017;12/6/2018;25/6/2018;27/6/2018;USD;27;Shawn Torres;5;Procter Corp;21;17;Furniture Cushions;7;0,05;187,6;144,452
SO - 000197;Online;WARE-NMK1003;31/12/2017;12/6/2018;9/7/2018;16/7/2018;USD;18;Shawn Wallace;30;S.S.S. Group;90;1;Cookware;4;0,05;3993,2;2835,172
SO - 000198;Online;WARE-MKL1006;31/12/2017;12/6/2018;15/6/2018;18/6/2018;USD;14;Paul Holmes;9;Ei ;360;15;Outdoor Furniture;5;0,05;2472,3;1433,934
SO - 000199;In-Store;WARE-XYS1001;10/4/2018;12/6/2018;5/7/2018;14/7/2018;USD;4;Chris Armstrong;47;Niconovum Corp;23;47;Audio;4;0,05;1206;844,2
SO - 000200;Online;WARE-NMK1003;31/12/2017;12/6/2018;22/6/2018;29/6/2018;USD;20;Anthony Torres;5;Procter Corp;144;40;Rugs;5;0,05;1728,6;985,302
SO - 000201;Wholesale;WARE-NMK1003;31/12/2017;12/6/2018;20/6/2018;29/6/2018;USD;28;Carlos Miller;23;E. Ltd;134;23;Accessories;7;0,075;1983,2;1447,736
SO - 000202;Online;WARE-NMK1003;10/4/2018;12/6/2018;10/7/2018;14/7/2018;USD;20;Anthony Torres;14;Linde ;180;11;Ornaments;2;0,2;5313,1;2656,55
SO - 000203;Distributor;WARE-XYS1001;10/4/2018;12/6/2018;17/6/2018;25/6/2018;USD;20;Anthony Torres;44;Winthrop ;58;23;Accessories;5;0,075;871;566,15
SO - 000204;Online;WARE-NMK1003;31/12/2017;13/6/2018;27/6/2018;1/7/2018;USD;12;Carl Nguyen;38;Ascend Ltd;175;43;Festive;2;0,1;2532,6;2051,406
SO - 000205;Online;WARE-NMK1003;10/4/2018;13/6/2018;25/6/2018;26/6/2018;USD;14;Paul Holmes;14;Linde ;95;1;Cookware;4;0,075;5916,1;4673,719
SO - 000206;Online;WARE-UHY1004;31/12/2017;13/6/2018;23/6/2018;1/7/2018;USD;13;Todd Roberts;34;OUR Ltd;231;31;Candleholders;1;0,075;2887,7;1443,85
SO - 000207;In-Store;WARE-NMK1003;31/12/2017;13/6/2018;20/6/2018;22/6/2018;USD;1;Adam Hernandez;13;Ole Group;199;11;Ornaments;7;0,1;1855,9;1447,602
SO - 000208;In-Store;WARE-XYS1001;10/4/2018;13/6/2018;17/6/2018;19/6/2018;USD;2;Keith Griffin;5;Procter Corp;58;39;Floor Lamps;5;0,1;207,7;135,005
SO - 000209;In-Store;WARE-MKL1006;31/12/2017;13/6/2018;29/6/2018;6/7/2018;USD;2;Keith Griffin;2;WakeFern ;345;3;Table Lamps;3;0,05;1058,6;772,778
SO - 000210;Online;WARE-UHY1004;10/4/2018;13/6/2018;3/7/2018;13/7/2018;USD;13;Todd Roberts;17;Pure Group;241;20;Bar Tools;7;0,1;958,1;517,374
SO - 000211;In-Store;WARE-NMK1003;10/4/2018;13/6/2018;8/7/2018;18/7/2018;USD;6;Joshua Bennett;40;Select ;186;27;Wreaths;7;0,2;2659,9;1675,737
SO - 000212;In-Store;WARE-NMK1003;31/12/2017;13/6/2018;5/7/2018;13/7/2018;USD;7;Shawn Cook;15;Rochester Ltd;144;8;Cocktail Glasses;3;0,1;2217,7;1707,629
SO - 000213;Online;WARE-XYS1001;31/12/2017;14/6/2018;17/6/2018;20/6/2018;USD;20;Anthony Torres;12;Medline ;40;11;Ornaments;1;0,3;1715,2;857,6
SO - 000214;In-Store;WARE-PUJ1005;10/4/2018;14/6/2018;6/7/2018;9/7/2018;USD;6;Joshua Bennett;25;Prasco Group;288;32;Vases;7;0,15;3932,9;1691,147
SO - 000215;In-Store;WARE-NMK1003;31/12/2017;14/6/2018;19/6/2018;20/6/2018;USD;2;Keith Griffin;13;Ole Group;169;40;Rugs;2;0,05;2546;1909,5
SO - 000216;Online;WARE-PUJ1005;31/12/2017;14/6/2018;26/6/2018;1/7/2018;USD;15;Roger Alexander;18;Eminence Corp;277;21;Floral;1;0,075;837,5;603
SO - 000217;Online;WARE-UHY1004;10/4/2018;14/6/2018;26/6/2018;5/7/2018;USD;16;Anthony Berry;3;Elorac, Corp;219;12;Dining Furniture;3;0,15;1809;1302,48
SO - 000218;Wholesale;WARE-PUJ1005;10/4/2018;14/6/2018;29/6/2018;3/7/2018;USD;26;Donald Reynolds;25;Prasco Group;306;11;Ornaments;8;0,075;857,6;514,56
SO - 000219;In-Store;WARE-XYS1001;31/12/2017;14/6/2018;30/6/2018;7/7/2018;USD;8;George Lewis;11;Apollo Ltd;7;22;Wine Storage;6;0,05;1748,7;1101,681
SO - 000220;Wholesale;WARE-NBV1002;31/12/2017;14/6/2018;16/6/2018;17/6/2018;USD;28;Carlos Miller;44;Winthrop ;78;4;Serveware;1;0,075;1266,3;582,498
SO - 000221;In-Store;WARE-XYS1001;31/12/2017;14/6/2018;16/6/2018;22/6/2018;USD;3;Jerry Green;30;S.S.S. Group;28;9;Baseball;5;0,1;5058,5;3591,535
SO - 000222;Distributor;WARE-XYS1001;10/4/2018;14/6/2018;28/6/2018;6/7/2018;USD;22;Joe Price;38;Ascend Ltd;39;6;Computers;7;0,05;958,1;795,223
SO - 000223;Online;WARE-NMK1003;31/12/2017;14/6/2018;10/7/2018;14/7/2018;USD;19;Nicholas Cunningham;47;Niconovum Corp;122;2;Photo Frames;8;0,15;1802,3;756,966
SO - 000224;In-Store;WARE-XYS1001;10/4/2018;15/6/2018;7/7/2018;16/7/2018;USD;4;Chris Armstrong;17;Pure Group;48;32;Vases;4;0,075;6298;4534,56
SO - 000225;Online;WARE-XYS1001;31/12/2017;15/6/2018;2/7/2018;6/7/2018;USD;18;Shawn Wallace;28;Dharma Ltd;1;30;Wall Coverings;1;0,1;2499,1;1824,343
SO - 000226;In-Store;WARE-NMK1003;10/4/2018;15/6/2018;19/6/2018;23/6/2018;USD;8;George Lewis;5;Procter Corp;198;23;Accessories;3;0,1;871;705,51
SO - 000227;In-Store;WARE-UHY1004;31/12/2017;15/6/2018;12/7/2018;18/7/2018;USD;1;Adam Hernandez;32;OHTA'S Corp;242;5;Bathroom Furniture;1;0,05;750,4;360,192
SO - 000228;Wholesale;WARE-NMK1003;10/4/2018;15/6/2018;23/6/2018;27/6/2018;USD;27;Shawn Torres;21;Ohio ;200;14;Mirrors;8;0,075;763,8;504,108
SO - 000229;In-Store;WARE-PUJ1005;31/12/2017;15/6/2018;26/6/2018;2/7/2018;USD;5;Stephen Payne;49;Bare ;304;25;TV and video;6;0,1;844,2;565,614
SO - 000230;In-Store;WARE-XYS1001;10/4/2018;15/6/2018;5/7/2018;14/7/2018;USD;2;Keith Griffin;6;PEDIFIX, Corp;31;27;Wreaths;7;0,05;261,3;112,359
SO - 000231;Online;WARE-NBV1002;31/12/2017;15/6/2018;6/7/2018;16/7/2018;USD;19;Nicholas Cunningham;47;Niconovum Corp;71;33;Outdoor Decor;2;0,05;3999,9;2359,941
SO - 000232;In-Store;WARE-UHY1004;31/12/2017;15/6/2018;25/6/2018;3/7/2018;USD;4;Chris Armstrong;32;OHTA'S Corp;250;18;Basketball;6;0,05;1112,2;811,906
SO - 000233;In-Store;WARE-NMK1003;10/4/2018;15/6/2018;26/6/2018;4/7/2018;USD;10;Jonathan Hawkins;18;Eminence Corp;167;2;Photo Frames;2;0,075;2633,1;1843,17
SO - 000234;Distributor;WARE-NMK1003;31/12/2017;15/6/2018;9/7/2018;13/7/2018;USD;22;Joe Price;8;Medsep Group;132;4;Serveware;6;0,2;1018,4;631,408
SO - 000235;In-Store;WARE-XYS1001;10/4/2018;15/6/2018;27/6/2018;30/6/2018;USD;1;Adam Hernandez;24;Burt's Corp;56;21;Floral;4;0,15;5219,3;3444,738
SO - 000236;Distributor;WARE-UHY1004;10/4/2018;15/6/2018;13/7/2018;20/7/2018;USD;21;Samuel Fowler;11;Apollo Ltd;259;26;Candles;1;0,15;3999,9;2359,941
SO - 000237;Online;WARE-MKL1006;10/4/2018;16/6/2018;27/6/2018;1/7/2018;USD;20;Anthony Torres;50;Sundial ;341;25;TV and video;5;0,4;1721,9;1084,797
SO - 000238;In-Store;WARE-NMK1003;31/12/2017;16/6/2018;5/7/2018;12/7/2018;USD;10;Jonathan Hawkins;7;New Ltd;195;37;Platters;6;0,15;737;456,94
SO - 000239;Online;WARE-XYS1001;10/4/2018;16/6/2018;7/7/2018;15/7/2018;USD;19;Nicholas Cunningham;2;WakeFern ;33;40;Rugs;3;0,05;1219,4;695,058
SO - 000240;In-Store;WARE-PUJ1005;31/12/2017;16/6/2018;12/7/2018;17/7/2018;USD;2;Keith Griffin;18;Eminence Corp;279;41;Collectibles;8;0,05;891,1;712,88
